date,open_proxy,observed_close,anchor_available_at,scheduled_close,close,previous_close,spy_return,spy_vol_prior14,prior_sessions,eligible
2025-08-27,643.5433,644.8422,2025-08-27 10:00:00,2025-08-27 16:00:00,644.842,643.3762,0.002278293788299912,0.006163092078375155,115,True
2025-08-28,644.2737,647.1258,2025-08-28 10:00:00,2025-08-28 16:00:00,647.1257,644.842,0.003541487682254152,0.006132160799137032,116,True
2025-08-29,643.7128,643.2665,2025-08-29 10:00:00,2025-08-29 16:00:00,643.2664,647.1257,-0.00596375634594648,0.005903861456228725,117,True
2025-09-02,637.5623,638.4998,2025-09-02 10:00:00,2025-09-02 16:00:00,638.4996,643.2664,-0.007410304657603728,0.00616551027495039,118,True
2025-09-03,640.2798,641.9601,2025-09-03 10:00:00,2025-09-03 16:00:00,641.9601,638.4996,0.005419737146272308,0.005882738370216452,119,True
2025-09-04,643.2351,647.3253,2025-09-04 10:00:00,2025-09-04 16:00:00,647.3252,641.9601,0.00835737298938044,0.006001725996916636,120,True
2025-09-05,649.2599,645.4504,2025-09-05 10:00:00,2025-09-05 16:00:00,645.4504,647.3252,-0.0028962258846095823,0.006415483453872863,121,True
2025-09-08,646.5624,647.0361,2025-09-08 10:00:00,2025-09-08 16:00:00,647.036,645.4504,0.0024565791577477736,0.006435936163992274,122,True
2025-09-09,647.2455,648.5319,2025-09-09 10:00:00,2025-09-09 16:00:00,648.5319,647.036,0.0023119270025160343,0.006454579845758307,123,True
2025-09-10,651.7546,650.4067,2025-09-10 10:00:00,2025-09-10 16:00:00,650.4066,648.5319,0.002890682786768295,0.006223261266515203,124,True
2025-09-11,653.8023,655.8117,2025-09-11 10:00:00,2025-09-11 16:00:00,655.8116,650.4066,0.0083101862742474,0.006135908201852017,125,True
2025-09-12,655.8217,655.5923,2025-09-12 10:00:00,2025-09-12 16:00:00,655.5923,655.8116,-0.00033439481704800045,0.006155855585476103,126,True
2025-09-15,658.8932,659.0826,2025-09-15 10:00:00,2025-09-15 16:00:00,659.0826,655.5923,0.00532388803224193,0.0049343568697911835,127,True
2025-09-16,658.3746,658.1752,2025-09-16 10:00:00,2025-09-16 16:00:00,658.1751,659.0826,-0.0013769139103352313,0.004745002782012621,128,True
2025-09-17,658.0904,657.3574,2025-09-17 10:00:00,2025-09-17 16:00:00,657.3574,658.1751,-0.0012423745595967484,0.004783624178241893,129,True
2025-09-18,660.2594,660.429,2025-09-18 10:00:00,2025-09-18 16:00:00,660.4288,657.3574,0.004672344146426255,0.004839494655868963,130,True
2025-09-19,662.125,663.7,2025-09-19 10:00:00,2025-09-19 16:00:00,663.7,660.4288,0.004953145592681674,0.004887459608350402,131,True
2025-09-22,663.43,666.84,2025-09-22 10:00:00,2025-09-22 16:00:00,666.84,663.7,0.004731053186680656,0.004463430274592202,132,True
2025-09-23,666.78,663.21,2025-09-23 10:00:00,2025-09-23 16:00:00,663.21,666.84,-0.005443584667986334,0.003523601873562632,133,True
2025-09-24,663.015,661.1,2025-09-24 10:00:00,2025-09-24 16:00:00,661.1,663.21,-0.003181496057055866,0.004121817720038921,134,True
2025-09-25,655.99,658.05,2025-09-25 10:00:00,2025-09-25 16:00:00,658.05,661.1,-0.004613522916351642,0.00397640502311298,135,True
2025-09-26,661.83,661.82,2025-09-26 10:00:00,2025-09-26 16:00:00,661.82,658.05,0.005729047944685206,0.0041457481177637825,136,True
2025-09-29,664.61,663.68,2025-09-29 10:00:00,2025-09-29 16:00:00,663.68,661.82,0.0028104318394728267,0.0042999099306304175,137,True
2025-09-30,663.065,666.18,2025-09-30 10:00:00,2025-09-30 16:00:00,666.18,663.68,0.0037668756027000594,0.00430810492815071,138,True
2025-10-01,663.6824,668.45,2025-10-01 10:00:00,2025-10-01 16:00:00,668.45,666.18,0.0034074874658502896,0.0043336601448775765,139,True
2025-10-02,669.3,669.22,2025-10-02 10:00:00,2025-10-02 16:00:00,669.22,668.45,0.0011519186176975893,0.003940571921589453,140,True
2025-10-03,670.67,669.21,2025-10-03 10:00:00,2025-10-03 16:00:00,669.21,669.22,-1.4942769194004057e-05,0.003910985773638198,141,True
2025-10-06,669.95,671.61,2025-10-06 10:00:00,2025-10-06 16:00:00,671.61,669.21,0.0035863181960820167,0.0037646615057479777,142,True
