model,date,timestamp,direction,held_shares,equity_marked,marked_leverage
B,2025-07-09,2025-07-09 12:00:00,0,0,102533.90759999992,0.0
B,2025-07-09,2025-07-09 12:30:00,0,0,102533.90759999992,0.0
B,2025-07-09,2025-07-09 13:00:00,0,0,102533.90759999992,0.0
B,2025-07-09,2025-07-09 13:30:00,0,0,102533.90759999992,0.0
B,2025-07-09,2025-07-09 14:00:00,0,0,102533.90759999992,0.0
B,2025-07-09,2025-07-09 14:30:00,0,0,102533.90759999992,0.0
B,2025-07-09,2025-07-09 15:00:00,0,0,102533.90759999992,0.0
B,2025-07-09,2025-07-09 15:30:00,0,0,102533.90759999992,0.0
B,2025-07-09,2025-07-09 16:00:00,0,0,102533.90759999992,0.0
B,2025-07-10,2025-07-10 10:00:00,0,0,102533.90759999992,0.0
B,2025-07-10,2025-07-10 10:30:00,0,0,102533.90759999992,0.0
B,2025-07-10,2025-07-10 11:00:00,0,0,102533.90759999992,0.0
B,2025-07-10,2025-07-10 11:30:00,1,164,102533.16959999992,0.9977260899969299
B,2025-07-10,2025-07-10 12:00:00,1,164,102562.59119999992,0.99772674230173
B,2025-07-10,2025-07-10 12:30:00,0,0,102542.23879999992,0.0
B,2025-07-10,2025-07-10 13:00:00,0,0,102542.23879999992,0.0
B,2025-07-10,2025-07-10 13:30:00,1,164,102541.50079999992,0.9985699331601754
B,2025-07-10,2025-07-10 14:00:00,1,164,102622.50039999993,0.9985710619072001
B,2025-07-10,2025-07-10 14:30:00,1,164,102626.55119999994,0.998571118309197
B,2025-07-10,2025-07-10 15:00:00,1,164,102567.67519999994,0.9985702981010928
B,2025-07-10,2025-07-10 15:30:00,0,0,102562.01719999994,0.0
B,2025-07-10,2025-07-10 16:00:00,0,0,102562.01719999994,0.0
B,2025-07-11,2025-07-11 10:00:00,0,0,102562.01719999994,0.0
B,2025-07-11,2025-07-11 10:30:00,0,0,102562.01719999994,0.0
B,2025-07-11,2025-07-11 11:00:00,0,0,102562.01719999994,0.0
B,2025-07-11,2025-07-11 11:30:00,0,0,102562.01719999994,0.0
B,2025-07-11,2025-07-11 12:00:00,0,0,102562.01719999994,0.0
B,2025-07-11,2025-07-11 12:30:00,0,0,102562.01719999994,0.0
B,2025-07-11,2025-07-11 13:00:00,0,0,102562.01719999994,0.0
B,2025-07-11,2025-07-11 13:30:00,0,0,102562.01719999994,0.0
B,2025-07-11,2025-07-11 14:00:00,0,0,102562.01719999994,0.0
B,2025-07-11,2025-07-11 14:30:00,0,0,102562.01719999994,0.0
B,2025-07-11,2025-07-11 15:00:00,0,0,102562.01719999994,0.0
