date,model,start_equity,gross_pnl,commission,slippage,costs,net_pnl,equity,daily_return,shares,sizing_leverage
2025-09-19,C,101229.52880000001,-91.64999999998611,4.277,1.222,5.4990000000000006,-97.14899999999034,101132.37980000002,-0.0009596903309895266,611,4.0
2025-09-22,C,101132.37980000002,581.5949999999557,8.526,2.436,10.962,570.632999999958,101703.01279999998,0.005642436192329736,609,4.0
2025-09-23,C,101703.01279999998,1440.0269999999705,4.2700000000000005,1.22,5.49,1434.536999999982,103137.54979999996,0.014105157364620258,610,4.0
2025-09-24,C,103137.54979999996,-640.659999999983,8.708,2.488,11.196,-651.8559999999852,102485.69379999998,-0.0063202587347095385,622,4.0
2025-09-25,C,102485.69379999998,0.0,0.0,0.0,0.0,0.0,102485.69379999998,0.0,624,4.0
2025-09-26,C,102485.69379999998,0.0,0.0,0.0,0.0,0.0,102485.69379999998,0.0,619,4.0
2025-09-29,C,102485.69379999998,0.0,0.0,0.0,0.0,0.0,102485.69379999998,0.0,616,4.0
2025-09-30,C,102485.69379999998,478.94999999998595,4.3260000000000005,1.236,5.562,473.3879999999772,102959.08179999996,0.004619064207378898,618,4.0
2025-10-01,C,102959.08179999996,279.80600000003733,4.34,1.24,5.58,274.22600000003877,103233.3078,0.00266344644110883,620,4.0
2025-10-02,C,103233.3078,0.0,0.0,0.0,0.0,0.0,103233.3078,0.0,616,4.0
2025-10-03,C,103233.3078,-1589.7750000000224,8.61,2.46,11.07,-1600.8450000000303,101632.46279999996,-0.015507059050180239,615,4.0
2025-10-06,C,101632.46279999996,-60.60000000001378,4.242,1.212,5.454,-66.05400000001828,101566.40879999995,-0.0006499301323633633,606,4.0
2025-10-07,C,101566.40879999995,66.44000000000824,4.228,1.208,5.436,61.00400000001537,101627.41279999996,0.0006006316529330036,604,4.0
2025-10-08,C,101627.41279999996,342.8141999999955,8.484,2.424,10.908,331.9061999999976,101959.31899999996,0.003265912127992321,606,4.0
2025-10-09,C,101959.31899999996,-254.93999999997516,4.249,1.214,5.462999999999999,-260.4029999999766,101698.91599999998,-0.002553989204262752,607,4.0
2025-10-10,C,101698.91599999998,9485.820000000025,4.228,1.208,5.436,9480.384000000035,111179.30000000002,0.09322010865877894,604,4.0
2025-10-13,C,111179.30000000002,0.0,0.0,0.0,0.0,0.0,111179.30000000002,0.0,403,2.403678799736593
2025-10-14,C,111179.30000000002,0.0,0.0,0.0,0.0,0.0,111179.30000000002,0.0,362,2.1397363340658795
2025-10-15,C,111179.30000000002,0.0,0.0,0.0,0.0,0.0,111179.30000000002,0.0,357,2.1482579231681433
2025-10-16,C,111179.30000000002,420.0299999999853,2.513,0.718,3.231,416.7989999999845,111596.099,0.0037488903060189926,359,2.1582159224150175
2025-10-17,C,111596.099,-1112.3999999999705,5.04,1.44,6.48,-1118.879999999961,110477.21900000004,-0.010026156917904094,360,2.136675598270834
2025-10-20,C,110477.21900000004,118.66000000001111,2.443,0.6980000000000001,3.141,115.51900000001478,110592.73800000006,0.0010456363859052686,349,2.1143047312961336
2025-10-21,C,110592.73800000006,0.0,0.0,0.0,0.0,0.0,110592.73800000006,0.0,336,2.0375668460127474
2025-10-22,C,110592.73800000006,-568.0080000000526,7.056,2.016,9.072000000000001,-577.08000000006,110015.658,-0.005218064137267886,336,2.044429232700986
2025-10-23,C,110015.658,0.0,0.0,0.0,0.0,0.0,110015.658,0.0,332,2.0224107090998165
2025-10-24,C,110015.658,0.0,0.0,0.0,0.0,0.0,110015.658,0.0,324,1.995975621218293
2025-10-27,C,110015.658,0.0,0.0,0.0,0.0,0.0,110015.658,0.0,315,1.959169113552431
2025-10-28,C,110015.658,0.0,0.0,0.0,0.0,0.0,110015.658,0.0,304,1.8983306096444208
2025-10-29,C,110015.658,0.0,0.0,0.0,0.0,0.0,110015.658,0.0,304,1.9100715849003378
2025-10-30,C,110015.658,-323.399999999986,2.156,0.616,2.7720000000000002,-326.1719999999914,109689.486,-0.002964777977331079,308,1.923086908066445
2025-10-31,C,109689.486,0.0,0.0,0.0,0.0,0.0,109689.486,0.0,430,2.6841030278807576
2025-11-03,C,109689.486,-996.7790999999743,3.4370000000000003,0.982,4.4190000000000005,-1001.198099999965,108688.28790000004,-0.009127566702245016,491,3.056086084543442
2025-11-04,C,108688.28790000004,-24.699999999977535,6.916,1.976,8.892,-33.59199999997509,108654.69590000006,-0.0003090673397200261,494,3.087608207762226
2025-11-05,C,108654.69590000006,610.5999999999824,3.0100000000000002,0.86,3.87,606.7299999999814,109261.42590000005,0.005584020046021543,430,2.6854700378508904
2025-11-06,C,109261.42590000005,-1135.4400000000041,3.192,0.912,4.104,-1139.5439999999944,108121.88190000005,-0.010429517925593879,456,2.814316922155306
2025-11-07,C,108121.88190000005,-810.9199999999753,2.926,0.836,3.762,-814.6819999999716,107307.19990000008,-0.007534848503223945,418,2.581376032222119
2025-11-10,C,107307.19990000008,299.34500000002583,3.059,0.874,3.9330000000000003,295.4120000000257,107602.6119000001,0.0027529560017904853,437,2.7667595925839485
2025-11-11,C,107602.6119000001,-126.63000000001375,2.646,0.756,3.402,-130.03200000002107,107472.57990000008,-0.0012084465024033708,378,2.3961202730002324
2025-11-12,C,107472.57990000008,0.0,0.0,0.0,0.0,0.0,107472.57990000008,0.0,385,2.454170952720321
2025-11-13,C,107472.57990000008,1674.1799999999964,2.751,0.786,3.537,1670.6429999999964,109143.22290000008,0.01554483014694985,393,2.482062657930025
2025-11-14,C,109143.22290000008,-1102.165900000009,5.026,1.436,6.462,-1108.6279000000068,108034.59500000007,-0.010157551431441258,359,2.2034344729260185
2025-11-17,C,108034.59500000007,1364.6289999999954,2.681,0.766,3.447,1361.1820000000007,109395.77700000007,0.01259950111350916,383,2.391273723691387
2025-11-18,C,109395.77700000007,0.0,0.0,0.0,0.0,0.0,109395.77700000007,0.0,389,2.3443626559835784
2025-11-19,C,109395.77700000007,0.0,0.0,0.0,0.0,0.0,109395.77700000007,0.0,380,2.313760958778543
2025-11-20,C,109395.77700000007,2758.0400000000104,2.674,0.764,3.4379999999999997,2754.6020000000135,112150.37900000009,0.025180149321486267,382,2.358999827131946
2025-11-21,C,112150.37900000009,-2249.100000000017,5.292,1.512,6.804,-2255.904000000024,109894.47500000006,-0.020114992210592764,378,2.2096824423335777
2025-11-24,C,109894.47500000006,893.5150000000452,7.203,2.0580000000000003,9.261000000000001,884.2540000000445,110778.72900000011,0.008046391777203121,343,2.0761008019340967
2025-11-25,C,110778.72900000011,164.72999999999706,4.522,1.292,5.814,158.9159999999829,110937.64500000009,0.0014345353249176629,323,1.950248729500277
2025-11-26,C,110937.64500000009,858.6999999999944,2.17,0.62,2.79,855.9099999999889,111793.55500000008,0.007715234986284347,310,1.8945441379096106
2025-11-28,C,111793.55500000008,0.0,0.0,0.0,0.0,0.0,111793.55500000008,0.0,320,1.9505216369053586
2025-12-01,C,111793.55500000008,-651.4350000000202,2.219,0.634,2.8529999999999998,-654.288000000015,111139.26700000007,-0.005852645083162522,317,1.9377462147808373
